student_id,last_name,first_name,age,gender,year_level,department,gpa,email,contact_no,enrollment_status
202403710,GARCIA,Leo,27,M,4,BSN,1.52,leogarcia88@uni.edu.ph,09982133541,Enrolled
202401872,Ramos,Mark,21,M,3,BSIT,1.59,mark48@protonmail.com,0983-234-4261,Enrolled
202400198,VILLANUEVA,Nina,27,F,5,BSCRIM,1.84,ninavillanueva73@uni.edu.ph,09144232045,Enrolled
202400030,Miranda,Karl,18,M,5,BSME,2.45,karlmiranda6@uni.edu.ph,09765055833,Enrolled
202403444,Jimenez,Tricia,27,F,3,BSME,1.58,triciajimenez18@uni.edu.ph,09624156335,Enrolled
202409087,Soriano,Marisol,17,F,2,BSN,2.13,marisolsoriano30@uni.edu.ph,09312974137,Enrolled
202407421,Aguilar,Elena,23,Prefer not to say,4,BSBA,3.33,elenaaguilar52@uni.edu.ph,09670122269,Enrolled
202408848,Alcantara,Patricia,21,F,2,BSED,1.43,,09153329801,Enrolled
202409333,Santiago,Sofia,19,F,5,BSPSYCH,1.63,sofiasantiago44@uni.edu.ph,09986299878,Enrolled
202402604,Macaraeg,Clara,23,F,3,BSBA,0.52,claramacaraeg27@uni.edu.ph,09318746632,Enrolled
202404971,Medina,Abigail,21,F,3,BSME,3.01,abigailmedina63@uni.edu.ph,09244236560,Enrolled
202407278,Soriano,Jasmine,22,F,2,BSBA,2.14,jasminesoriano25@uni.edu.ph,09799991733,Enrolled
202404549,Hernandez,Abigail,23,F,5,BSCS,2.06,abigailhernandez21@uni.edu.ph,09313622421,Enrolled
202401309,Lim,Angela,20,F,5,BSIT,1.99,angelalim30@uni.edu.ph,09580054173,Enrolled
202403002,Santos,Nico,21,M,1,BSCS,2.04,nicosantos13@uni.edu.ph,09834651803,Enrolled
202403190,Hidalgo,Nina,22,none,5,BSCE,1.99,ninahidalgo98@uni.edu.ph,09914732842,Enrolled
202402531,Tan,Isabel,24,F,5,BSPSYCH,1.65,isabeltan28@uni.edu.ph,09590739130,Enrolled
202404939,Del Rosario,Ben,21,M,5,BSCE,2.58,bendelrosario60@uni.edu.ph,09550268175,Enrolled
202405899,Aguilar,Ana,25,F,3,BSCRIM,2.01,anaaguilar86@uni.edu.ph,09311495445,LOA
202402507,De Guzman,Leo,26,M,2,BSN,1.76,leodeguzman28@uni.edu.ph,09937668367,Enrolled
202400306,Javier,Francis,28,M,5,BSBA,1.41,francisjavier18@uni.edu.ph,09942725534,Enrolled
202403897,Natividad,Iris,17,F,1,BSPSYCH,N/A,irisnatividad82@uni.edu.ph,09760300387,Enrolled
202400032,Obando,Christian,18,M,1,BSED,2.41,christianobando13@uni.edu.ph,09178663096,Enrolled
202403317,Mendoza,Sofia,24,F,5,BSCRIM,3.4,sofiamendoza53@uni.edu.ph,09437253608,Dropped
202401752,Romero,,18,Prefer not to say,4,BSCE,2.85,francescaromero53@uni.edu.ph,09124408555,Enrolled
202403833,Mendoza,Aaron,21,M,4,BSN,1.48,aaronmendoza33@uni.edu.ph,09958602751,Enrolled
202400055,Ramos,Abigail,25,F,4,BSECE,2.86,abigailramos61@uni.edu.ph,09583258726,Enrolled
202403268,Dela Cruz,Danica,19,F,3,BSECE,2.01,danicadelacruz89@uni.edu.ph,09936665936,Dropped
202407673,Hidalgo,Christian,21,M,2,BSME,2.08,christianhidalgo51@uni.edu.ph,09265970989,Enrolled
202407394,Obando,Ana,21,F,1,BSCE,1.24,anaobando50@uni.edu.ph,09179860776,Enrolled
202402891,Santos,Bianca,20,F,1,BSECE,1.85,biancasantos21@uni.edu.ph,09986622781,Enrolled
202409895,De Leon,Patricia,26,F,1,BSIT,1.55,patriciadeleon49@uni.edu.ph,09980196115,Enrolled
202405842,Gonzales,Jose,19,M,1,BSPSYCH,3.14,josegonzales63@uni.edu.ph,09333722438,Enrolled
202405327,Tan,Felix,22,M,1,BSN,2.42,felixtan16@uni.edu.ph,09385438022,Enrolled
202400745,Ilustre,Francesca,25,F,5,BSCS,2.04,francescailustre10@uni.edu.ph,09225161415,Enrolled
202400954,VILLANUEVA,Aldrich,21,M,2,BSPSYCH,1.11,aldrichvillanueva4@uni.edu.ph,09178593060,Enrolled
202407882,Soriano,Rafael,25,M,4,BSED,2.1,rafaelsoriano82@uni.edu.ph,09414921296,Enrolled
202408943,unknown,unknown,19,M,2,BSBA,0.39,unknown@uni.edu.ph,09442576829,Enrolled
202400534,Delos Reyes,Maricel,19,F,2,BSPSYCH,3.1,alt_mariceldelosreyes4@uni.edu.ph,09137747372,Enrolled
202402472,Fajardo,Bianca,18,F,4,BSME,2.11,biancafajardo6@uni.edu.ph,09467685023,Enrolled
202406932,Santiago,Francesca,18,Prefer not to say,1,BSCS,2.42,francescasantiago75@uni.edu.ph,09749018442,Enrolled
202405610,Obando,Daniel,25,M,3,BSCE,1.34,danielobando49@uni.edu.ph,09348990442,Enrolled
202408524,Perez,Katrina,23,F,2,BSN,2.18,katrinaperez17@uni.edu.ph,09964441040,LOA
202408272,Del Rosario,Francis,25,M,7,BSCRIM,2.55,francisdelrosario81@uni.edu.ph,09647496630,LOA
202409591,Lacson,Mark,24,M,4,BSCS,1.14,marklacson87@uni.edu.ph,09792449746,Enrolled
202405945,Diaz,Carla,24,F,3,BSECE,3.01,carladiaz54@uni.edu.ph,09443479550,Enrolled
202401720,Mendoza,Abigail,24,F,5,BSME,2.72,abigailmendoza5@uni.edu.ph,09522403027,LOA
202405484,Garcia,nico,19,M,3,BSCS,1.55,nicogarcia2@uni.edu.ph,09224090104,Enrolled
202402693,Hidalgo,Ramon,26,M,6,BSCS,1.93,ramonhidalgo68@uni.edu.ph,09957091885,Enrolled
202403818,Dalisay,Veronica,24,F,4,BSBA,1.62,veronicadalisay35@uni.edu.ph,09963701556,Enrolled
202408102,Tan,Leilani,22,F,2,BSBA,2.13,leilanitan50@uni.edu.ph,09478545919,LOA
202405868,Chua,Luisa,18,F,2,BSIT,1.08,luisachua99@uni.edu.ph,09456236597,Enrolled
202401999,Reyes,Rowena,26,F,1,BSCS,N/A,rowenareyes15@uni.edu.ph,09729747367,LOA
202405599,Natividad,Camille,20,F,1,BSCE,2.76,camillenatividad34@uni.edu.ph,09270605314,LOA
202403757,Tan,Luisa,25,F,2,BSME,2.82,luisatan48@uni.edu.ph,09532625167,Enrolled
202405243,Tan,Iris,17,F,1,BSIT,1.88,iristan52@uni.edu.ph,09788348402,Enrolled
202401210,Flores,Lisa,17,F,3,BSCS,1.83,lisaflores13@uni.edu.ph,09982551497,Enrolled
202403626,Cabrera,Luisa,27,FEMALE,1,BSED,2.43,luisacabrera50@uni.edu.ph,09680200438,Enrolled
202406953,Natividad,Grace,25,Prefer not to say,3,BSCE,3.37,gracenatividad29@uni.edu.ph,09231575785,LOA
202407855,Diaz,Miguel,26,M,2,BSCE,2.2,migueldiaz84@uni.edu.ph,09400660485,Dropped
202401843,Jimenez,Carlos,17,M,5,BSN,3.48,carlosjimenez75@uni.edu.ph,09859723045,Enrolled
202408663,Ilustre,Adrian,28,unknown,1,BSME,2.34,adrianilustre59@uni.edu.ph,09442740039,Enrolled
